author_id,name
0,Михаил Салтыков-Щедрин
1,Антон Чехов
2,Михаил Лермонтов
3,Уильям Теккерей
4,Ги де Мопассан
5,Уильям Шекспир
6,Александр Куприн
7,Гай Юлий Цезарь
8,Леонид Андреев
9,Александр Пушкин
10,Алексей Гастев
11,Надежда Крупская
12,Лев Толстой
13,Николай Лесков
14,Николай Гоголь
15,Евгений Замятин
16,Сергей Есенин
17,Карл Маркс
18,Алексей Толстой
19,Иван Тургенев
20,Николай Карамзин
21,Максим Горький
22,Джоэль Чендлер Харрис
23,Ганс Андерсен
24,Всеволод Гаршин
25,Иван Крылов
26,Николай Некрасов
27,Федор Достоевский
28,Василий Ключевский
29,Александр Островский
30,Александр Блок
31,Денис Фонвизин
32,Александр Дюма
33,Вальтер Скотт
34,Аркадий Аверченко
35,Проспер Мериме
36,Александр Грин
37,Иван Гончаров
38,Александр Герцен
39,Лев Троцкий
40,Николай Гарин-Михайловский
41,Владимир Маяковский
42,Дмитрий Фурманов
43,Николай Бестужев
44,Эдгар Аллан По
45,Борис Житков
46,Семен Юшкевич
47,Саша Чёрный
48,Михаил Булгаков
49,Александр Грибоедов
50,Сергей Аксаков
51,Александр Радищев
52,Дмитрий Мамин-Сибиряк
53,Альфонс Доде
54,Редьярд Джозеф Киплинг
55,Генри Райдер Хаггард
56,Луи Буссенар
57,Жюль Верн
58,Марк Твен
59,Эрнст Гофман
60,Николай Кун
61,Джеймс Оливер Кервуд
62,Джек Лондон
63,Тарас Шевченко
64,Жорж Санд
65,Фридрих Ницше
66,Джованни Боккаччо
67,Федор Сологуб
68,Владимир Короленко
69,Шарль Перро
70,Николай Чернышевский
71,Пётр Ершов
72,Оскар Уайльд
73,Иван Лукаш
74,Владимир Мономах
75,Николай Добролюбов
76,Владимир Гиляровский
77,Антоний Погорельский
78,Виссарион Белинский
79,Джеймс Гринвуд
80,Валерий Брюсов
81,Оноре де Бальзак
82,Владимир Одоевский
83,Анна Мар
84,Генрих Лаубе
85,Вильгельм Гауф
86,Константин Станиславский
87,Шарль де Костер
88,Даниэль Дефо
89,Анри де Ренье
90,Афанасий Фет
91,Светлана Штейникова
92,Антоний Сурожский
93,Джером Джером
94,Анатолий Будниченко
95,Мигель де Сервантес Сааведра
96,Анатолий Вилинович
97,Галина Алимпиева
98,Дарья Кошевая
99,Игорь Москвин
100,Елена Слюсарь
101,Виктор Мельников
102,Инна Касперович
103,Григорий Луговский
104,Артур Конан Дойл
105,Теодор Моммзен
106,Александр Чуйко
107,Михаил Гершензон
108,Леонид Бельский
109,Джеймс Фенимор Купер
110,Джордж Байрон
111,Данте Алигьери
112,Джулия Леви
113,Уильям Уилки Коллинз
114,Эрнст Д'Эрвильи
115,Ольга Амельяненко
116,Надежда Зайцева
117,Татьяна Селезнева
118,Карло Гольдони
119,Лина Войтоловская
120,Василий Жуковский
121,Елена Обухова
122,Наталья Тимошенко
123,Иван Бунин
124,Михаил Бабкин
125,Донасьен Альфонс Франсуа де Сад
126,Андрей Платонов
127,Марина Цветаева
128,Галина Щербакова
129,Надежда Тэффи
130,Василий Ян
131,Андрей Неклюдов
132,Иван Ефремов
133,Андрей Корф
134,Алексей Евтушенко
135,Евгений Лукин
136,Святослав Логинов
137,Леонид Добычин
138,Михаил Кликин
139,Евгений Гаркушев
140,Виталий Протов
141,Игорь Куберский
142,Александр Рудазов
143,Дмитрий Володихин
144,Кайл Иторр
145,Франсуа-Мари Аруэ Вольтер
146,Любовь Лукина
147,Елена Блаватская
148,Вячеслав Морочко
149,Игорь Пронин
150,Фридрих Энгельс
151,Синтия Вейдер
152,Анна Дубчак
153,Александр Житинский
154,Иван Медведев
155,Абрахам Меррит
156,Павел Ковалевский
157,Сергей Сухинов
158,Наталья Резанова
159,Дмитрий Мережковский
160,Николай Бердяев
161,Петр Филаретов
162,Николай Чадович
163,Юрий Брайдер
164,К. Карягин
165,Аделаида Паевская
166,Платон Краснов
167,Эдгар Берроуз
168,Михаил Протопопов
169,Федора Орлов
170,Андрей Каменский
171,Александр Скабичевский
172,Геннадий Прашкевич
173,Елизавета Литвинова
174,Михаил Барро
175,Яков Абрамов
176,Михаил Филиппов
177,Александра Анненская
