item_id,author_id
128115,0
210979,1
95632,0
247906,2
294280,0
250772,2
135463,0
221944,0
307,0
133138,0
202356,0
51310,0
75579,3
285394,4
167994,5
321040,6
99353,7
186847,1
64274,1
80487,8
49230,9
100726,10
167361,11
166439,12
228304,0
103717,0
279038,13
89144,14
181367,15
217621,0
231257,6
270415,16
222102,6
111173,0
137350,0
136012,0
164470,0
223806,17
28495,2
39443,0
174888,14
72049,18
296026,14
287242,19
31597,19
310744,20
151190,20
286091,20
35192,20
29124,20
98038,20
316479,20
9790,21
261378,21
216637,22
32534,23
14876,23
12987,23
14827,24
114733,25
35266,26
162625,27
157886,27
35246,27
233762,28
34363,29
259540,29
42617,29
91167,29
313436,29
286715,29
215715,29
56631,30
120446,25
178563,31
28084,31
196517,12
172403,22
124657,6
209379,6
175729,6
39551,15
210567,12
272281,1
134726,32
194233,33
96696,34
47307,35
293034,36
186043,14
292402,14
47799,14
229652,20
31711,19
55513,19
288126,19
73250,37
108710,19
169853,12
8653,6
18000,19
221851,27
234393,19
212269,21
271846,26
7661,38
156003,9
300258,34
181955,20
41780,16
21728,39
176715,39
176613,39
76533,39
252878,39
201999,39
231178,0
39855,0
144522,0
293118,0
21308,0
5741,0
41575,34
88986,40
211125,21
206199,41
108840,42
131284,12
135542,43
308291,9
295007,1
223944,27
15131,30
8028,44
30772,44
300052,44
217347,25
49746,12
158460,12
263389,12
211864,12
319057,12
66335,45
279115,21
272495,46
272091,47
185441,16
300130,34
267545,34
158232,0
60156,6
157171,12
249076,9
191796,12
230045,9
205633,9
122464,1
128456,1
13004,2
203784,2
185879,12
246563,12
90674,2
129335,14
294617,48
149184,1
42146,27
201173,12
99199,48
26712,48
115190,48
100891,49
163394,50
88843,51
312940,1
68596,14
82039,52
126875,27
246172,27
141961,9
106782,9
303597,52
4110,27
66165,9
123338,27
220733,9
63500,52
46609,52
170562,52
134206,53
125565,54
188398,55
196474,56
48874,57
132760,9
66088,58
244278,59
123890,60
218448,20
107656,57
95885,57
120341,61
282647,57
311394,57
239050,61
91662,57
184809,62
175092,62
202908,58
270536,26
23763,63
259721,1
26225,64
74512,34
264864,31
251132,57
64686,65
159086,66
219099,17
14282,1
65912,67
263368,68
122203,23
193212,23
64152,69
231005,27
45236,36
207059,36
126615,70
171550,71
5731,72
269753,0
8813,2
3638,0
87482,1
35187,16
242041,1
217410,0
209333,0
203765,0
93723,2
29113,0
290125,0
7008,14
74224,2
72717,4
247571,73
198476,6
158084,8
87978,8
140097,6
93366,1
137981,1
155266,1
321392,15
80195,30
8424,10
169867,12
27859,12
103047,12
299273,12
251791,0
150035,0
305044,13
150122,14
199796,14
192409,2
40859,15
305745,33
39652,74
19800,2
207988,17
100321,75
292066,57
177305,75
147734,76
226393,19
320947,19
35333,19
234080,19
54727,19
7057,19
231923,28
305086,20
298189,20
284459,20
266250,20
238592,20
43662,69
293589,21
219625,21
6722,22
182969,22
315595,41
79124,23
225951,23
267436,77
260999,9
206570,1
293630,23
92015,78
235729,27
177181,27
256602,35
308323,35
3797,35
195822,29
173123,29
195554,29
256876,78
254048,78
189218,29
42227,29
176635,29
285155,29
58405,29
74836,1
169780,1
72609,1
269297,31
305321,31
182675,52
104010,12
242343,52
56838,22
59857,6
161904,15
147736,1
307377,39
110811,79
27780,80
249144,27
219439,36
4629,14
182360,14
9794,19
61478,2
217386,19
9998,37
306802,37
128989,6
27971,8
8107,80
308913,6
199104,19
312076,39
103077,39
276014,39
293330,39
120868,39
215879,39
208695,0
187048,0
212414,0
234194,0
247343,34
297202,21
69533,81
35638,75
311444,65
187763,1
140244,30
239021,21
126490,48
213207,1
207642,44
193487,44
5001,44
185896,12
287319,12
207104,12
3425,12
153577,12
279346,45
24973,41
312398,82
108759,16
7981,34
228364,34
14770,0
35888,0
25978,9
6679,9
152914,9
181213,12
76142,9
230067,9
170244,1
205665,1
121544,1
276206,12
248283,0
149642,2
154218,2
143056,12
246451,12
160394,13
160201,1
270546,16
6416,12
280625,48
159436,48
234071,21
35265,48
151126,83
182015,83
164918,2
121029,52
200356,27
209326,9
74801,9
163618,9
176480,27
233920,27
149575,9
96052,9
92867,27
267828,52
125884,67
50678,67
230002,84
28800,54
249205,55
300450,57
291806,32
262825,58
20629,2
32743,57
163761,58
2669,85
197375,85
242144,86
147035,87
301337,88
310086,57
316776,57
87645,57
305402,57
138398,61
139194,57
142795,62
171119,61
291733,62
63978,58
277735,1
110263,34
54414,12
204337,34
127758,89
136717,25
68088,90
63342,31
141426,9
227384,5
171795,5
158612,62
51895,62
126581,15
84694,23
31238,69
126091,69
298017,1
128923,36
100290,91
197348,92
32983,93
283431,94
240515,94
263683,94
288335,94
118302,95
117253,94
101291,94
263380,92
95835,92
246377,92
310128,94
149626,94
318093,94
168259,96
63005,97
75516,98
93005,99
319178,100
169951,101
95837,102
207669,103
102091,104
161088,105
39985,106
231358,107
190388,108
40244,109
47194,110
20607,106
262151,111
296833,104
310516,94
210371,94
293507,112
144808,113
51066,110
287717,110
51091,110
181189,110
303414,114
106230,115
106230,116
151175,115
151175,117
38345,115
303578,111
270442,118
267267,119
215956,120
87963,121
87963,122
226751,12
124434,1
252369,1
10720,123
119595,124
241080,1
255523,1
265097,1
32320,124
59269,125
161456,1
69260,123
81513,126
251984,127
300874,128
31233,1
319156,12
32133,129
68658,2
86930,1
176506,1
196460,1
211730,130
316395,1
2362,0
187772,1
252386,131
296752,132
152407,133
183578,2
153865,1
273651,126
90053,4
186513,15
272694,134
152182,135
27545,136
317538,124
165140,128
107313,137
74465,138
202851,139
15140,127
162084,1
271671,1
150247,140
314814,16
50495,141
320435,128
175080,139
178789,142
43633,143
225926,144
3467,145
59332,123
100640,135
100640,146
99936,123
38020,139
68615,2
225169,147
14536,124
272874,147
157328,129
282448,124
54467,148
47890,12
227512,12
136901,1
30590,141
40253,149
48725,128
78656,128
65314,128
99678,128
234447,128
288068,128
186418,128
197944,128
89268,134
310673,128
37467,1
308338,128
257891,144
102536,15
163437,128
66417,150
224510,151
308115,128
79108,143
157652,134
312369,141
165626,128
23775,128
169264,152
86994,128
98448,153
92718,128
54749,154
248866,153
24302,155
60474,140
160479,156
258801,157
217203,158
100012,159
161001,160
5941,123
273877,143
169603,1
116461,161
266732,68
123355,133
107359,12
185195,162
185195,163
270327,159
102727,164
271829,2
185536,157
8916,165
162334,166
209447,162
209447,163
162657,167
299324,168
316179,169
159831,170
305398,2
224644,171
129178,172
40896,169
269300,173
97469,174
165365,175
84103,176
256292,177
59342,12
152251,175
212871,178
155127,167
111872,179
280287,180
176045,16
36149,181
85525,182
98509,182
291191,183
227853,159
218064,184
31289,159
297553,124
97925,185
78516,186
8780,2
265155,187
99426,188
178240,184
283979,184
9713,184
258191,189
92904,156
130103,190
16971,190
63256,4
49751,191
270887,160
230378,192
46570,193
128991,160
2668,194
130611,184
303028,184
80058,160
110501,195
247284,196
122060,184
315603,184
283601,184
19959,184
19971,197
142319,184
150574,198
65376,199
64535,200
69890,201
223948,184
126128,184
30347,202
140149,203
242383,184
111198,204
301857,32
283348,184
227895,205
227895,206
109775,207
223468,196
107026,208
107026,209
123779,160
172525,210
302175,184
294104,199
282288,204
130392,211
270491,204
62560,184
243409,212
186481,132
285161,213
84053,214
114342,215
227847,216
210831,160
116820,160
191019,215
154216,156
67290,217
278623,218
48485,160
23497,159
264422,210
112521,12
112521,9
112521,52
112521,21
112521,50
112521,20
112521,24
112521,219
112521,71
112521,82
112521,77
112521,220
112521,221
112521,222
112521,18
112521,120
81196,222
126547,132
74792,223
304460,184
11451,224
131518,225
218365,132
49452,226
249970,227
57879,228
205833,229
120983,230
163499,225
37804,231
295148,217
288325,230
152602,231
321371,228
298067,132
73532,226
139486,220
196120,232
218347,12
155167,233
30900,234
5705,233
282270,228
245272,228
275995,228
125132,28
302558,1
276741,16
173876,133
147723,129
277525,1
306997,125
41996,126
226486,129
180534,2
45015,133
74863,1
271889,129
104735,129
170220,125
263753,133
247706,127
224071,1
250922,133
263453,1
242798,1
49606,1
208616,129
313081,129
91271,129
233501,129
69525,1
155362,131
290989,4
55858,2
183915,133
321612,133
196484,1
214053,153
167582,142
307007,133
117187,129
31738,235
265254,127
277488,133
101725,133
22873,1
122821,236
209534,1
206162,2
66270,237
234444,139
103698,1
302800,238
111070,1
240082,239
274865,129
284507,136
30455,15
271772,1
55394,1
124616,133
52602,1
285646,133
255668,1
59522,124
148398,129
168327,123
265171,127
306084,137
259887,133
28674,1
124752,1
251337,1
9935,123
207903,123
78933,240
88707,12
62574,1
293759,238
230383,236
299323,142
85689,127
202772,239
126721,162
126721,163
84470,236
179523,1
57545,124
280309,52
297077,241
204506,241
250525,52
97320,136
80479,139
188408,217
218641,128
87379,128
296804,128
244975,128
241550,128
289715,242
16886,242
16065,243
54602,244
111855,245
256398,242
14230,246
204575,247
213336,248
112780,249
138362,250
203915,126
73641,126
262022,126
144868,126
122311,126
44044,126
101508,194
199241,204
20509,251
3532,142
265815,82
168921,252
76132,252
200490,253
187756,242
72223,254
159567,242
181924,242
61708,242
303778,255
56648,241
274248,205
274248,206
52331,216
257661,229
193829,228
220213,228
27686,242
195122,184
313493,197
134074,242
84782,211
13840,197
247766,256
300901,257
7388,258
304818,128
123770,259
84595,229
169930,229
116062,260
31469,260
129828,260
162979,204
30092,244
9879,244
42925,261
248884,242
46935,262
21420,262
173177,262
16675,242
59735,242
101829,263
114354,264
55602,264
310956,264
181308,264
42278,18
