item_id,title,year
128115,Ворон-челобитчик,1886
210979,Скрипка Ротшильда,1894
95632,Испорченные дети,1869
247906,Странный человек,1831
294280,Господа ташкентцы,1873
250772,Исповедь,1829-1830
135463,Самоотверженный заяц,1883
221944,Праздный разговор,1886
307,Путём-дорогою,
133138,Соседи,
202356,Орел-меценат,1884
51310,Либерал,1885
75579,Ярмарка тщеславия,1848
285394,Хитрость,
167994,Как вам это понравится,1600
321040,Жанета,1934
99353,Записки о Галльской войне,58-50 гг. до н. э.
186847,Устрицы,1884
64274,Дуэль,1888-1891
80487,Иго войны,1916
49230,Сказка о мертвой царевне и о семи богатырях,1834
100726,Как надо работать. Практическое введение в науку организации труда. Маркс и Форд,1927
167361,Система Тэйлора и организация работы советских учреждений,1921
92503,Подземные царства,
166439,Отрочество,1854
228304,Недоразумение,1869
103717,Цыгане,1871
279038,Левша,1881
89144,Нос,
35488,У страха глаза велики,
181367,Электричество,1918
217621,Кисель,1885
231257,Безумие,1894
270415,Черный человек,
222102,Забытый поцелуй,1894
111173,Богатырь,1886
137350,Руководство к первоначальному изучению всеобщей истории,1847
136012,Обманщик-газетчик и легковерный читатель,1884
164470,Вяленая вобла,1884
223806,Капитал. Том первый,1867
28495,Демон,1841
39443,Напрасные опасения,1868
174888,Ревизор,1836
72049,Семья вурдалака,1839
296026,Старосветские помещики,1835
287242,Провинциалка,1850
31597,Холостяк,1849
310744,Рыцарь нашего времени,1803
151190,История государства Российского. Том 2. От Великого князя Святополка до Великого князя Мстислава Изяславовича,
286091,История государства Российского. Том 4. От Великого князя Ярослава II до Великого князя Дмитрия Константиновича,1816-1829
35192,История государства Российского. Том 6. Государствование Иоанна III Василиевича,1816-1829
29124,История государства Российского. Том 9. Продолжение царствования Иоанна Грозного. 1560-1584 гг.,1816-1829
98038,История государства Российского. Том 11. От Бориса Годунова до Лжедмитрия. 1598-1606 гг.,1816-1829
316479,Письма русского путешественника,1792
9790,Девушка и смерть,1892
261378,Васса Железнова,1936
231627,Царство мрачного Аида,
71261,Орфей и Эвридика,
216637,Смоляное чучелко,
32534,Дюймовочка,1835
14876,Гадкий утёнок,1843
12987,Русалочка,1837
14827,Лягушка-путешественница,1887
114733,Басни,
35266,Крестьянские дети,
277888,Бой на калиновом мосту,
62879,Война грибов с ягодами,
41210,"За лапоток – курочку, за курочку – гусочку",
236442,Илья Муромец и змей,
186219,Садко,
162625,Бедные люди,1845
157886,Белые ночи,1848
35246,Дядюшкин сон,1859
233762,Афоризмы и мысли об истории,
34363,Бешеные деньги,1869
259540,Свои люди – сочтемся,1849
42617,Снегурочка,1873
91167,Таланты и поклонники,1881
313436,Доходное место,1857
286715,Не все коту масленица,1871
215715,На всякого мудреца довольно простоты,1868
56631,Незнакомка,1906
120446,Басни,
178563,Повествование мнимого глухого и немого,1783
28084,Каллисфен,
196517,Прыжок,
214357,"Сказка об Иване-царевиче, Жар-птице и о сером волке",
124812,Никита Кожемяка,
273933,Ссора птиц: Индийская сказка,
172403,Как Братец Волк попал в беду,
124657,Белый пудель,1903
209379,Гранатовый браслет,1910
175729,На переломе,1900
39551,Островитяне,1917
210567,Хаджи-Мурат,1896
272281,Анна на шее,1895
134726,Учитель фехтования,1840
194233,Айвенго,1819
96696,Шутка Мецената,1925
47307,Коломба,1840
293034,Алые паруса,1923
186043,Вечера на хуторе близ Диканьки,1832
292402,Тарас Бульба,1835
47799,"Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем",1834
229652,История государства Российского. Том 1. От древних славян до великого князя Владимира,1816-1829
31711,Муму,1854
55513,Ася,1858
288126,Первая любовь,1860
73250,Обыкновенная история,1846
108710,Рудин,1856
169853,Анна Каренина,1878
8653,Олеся,1890
18000,Накануне,1859
221851,Записки из мертвого дома,1860
234393,Вешние воды,1871
212269,Мещане,1902
271846,Кому на Руси жить хорошо,1876
7661,Былое и думы,
156003,История Пугачева,1834
300258,О маленьких – для больших,
181955,Бедная Лиза (сборник),1792
41780,"Я, Есенин Сергей…",
21728,Немецкая революция и сталинская бюрократия,1932
176715,"История русской революции. Том II, часть 1",
176613,Европа в войне (1914 – 1918 г.г.),
76533,Советская республика и капиталистический мир. Часть II. Гражданская война,
252878,Терроризм и коммунизм,
201999,Сталин. Том I,
231178,Господа Головлевы,1875-1880
39855,Убежище Монрепо,1882
144522,История одного города,1869
293118,Дневник провинциала в Петербурге,1873
21308,Благонамеренные речи,1876
5741,Современная идиллия,1877
41575,Нечистая сила,
88986,Инженеры,1906
211125,Исповедь,1908
206199,О любви,
108840,Чапаев,1923
131284,Кавказский пленник,
135542,Русский в Париже 1814 года,1860
308291,Борис Годунов,1831
295007,Вишневый сад,1904
223944,Записки из подполья,1864
15131,Молнии искусства,1909
8028,Падение дома Эшеров,1839
30772,Преждевременное погребение,1844
300052,Лягушонок,1849
281858,Волк и коза,
55980,Журавль и цапля,
211015,Каша из топора,
1987,Петушок – золотой гребешок,
217347,Басни,
49746,"Как мальчик рассказывал про то, как его в лесу застала гроза",
158460,Лгун,
263389,Отец и сыновья,
211864,Старый дед и внучек,
319057,Филипок,
66335,Храбрый утёнок,
279115,Преступники,1932
272495,Странный мальчик,1907
26498,Скупой,1668
272091,Дневник Фокса Микки,1924-1927
185441,Пугачев,1921
300130,Записки простодушного,
267545,Пантеон советов молодым людям,
158232,Пропала совесть,1869
60156,Яма,1909-1915
157171,Религия и нравственность,1893
249076,Каменный гость,1830
191796,Война и мир. Книга 2,1868
230045,Пиковая дама,1834
205633,Руслан и Людмила,1820
122464,Попрыгунья,1892
128456,Учитель словесности,1894
13004,Тамбовская казначейша,1837-1838
203784,"Песня про царя Ивана Васильевича, молодого опричника и удалого купца Калашникова",1837
185879,Записки сумасшедшего,1884
246563,Крейцерова соната (сборник),
90674,Бородино,1837
129335,Женитьба,1842
294617,Зойкина квартира,1925
149184,Чёрный монах,1894
42146,Кроткая,1876
201173,После бала,1911
99199,Морфий,1927
26712,Приключения покойника,1926
115190,Дни Турбиных,1926
100891,Горе от ума,1822-1824
163394,Аленький цветочек,1858
88843,Путешествие из Петербурга в Москву,1790
105887,Лиса Патрикеевна,
312940,Три сестры,1900
68596,Шинель,1842
82039,Дурной товарищ,1885
126875,Идиот,1869
246172,Братья Карамазовы,1880-1881
141961,Капитанская дочка,1836
106782,Медный всадник,1837
303597,Емеля-охотник,1884
4110,Двойник,1846
66165,Сказка о золотом петушке,1835
123338,Униженные и оскорбленные,1859
220733,Арап Петра Великого,1837
63500,Около нодьи,1891
46609,Зеленая война,1885
170562,В каменном колодце,1895
134206,Сафо,1884
125565,Холм иллюзий,1887
188398,Скиталец,1890
196474,Сила факира,1898
48874,Вокруг Луны,1870
132760,Дубровский,1841
