item_id,genre_id
128115,0
128115,1
128115,2
128115,3
128115,4
210979,5
210979,3
210979,4
95632,2
95632,5
95632,3
95632,4
247906,6
247906,3
294280,2
294280,5
294280,3
294280,4
250772,7
250772,3
135463,0
135463,1
135463,2
135463,3
135463,4
221944,1
221944,3
221944,4
307,0
307,1
307,4
133138,0
133138,1
133138,4
202356,1
202356,3
202356,4
51310,2
51310,3
51310,4
75579,2
75579,8
75579,5
75579,3
285394,2
285394,5
167994,6
167994,9
321040,4
99353,8
99353,10
186847,3
186847,4
64274,3
64274,4
80487,11
80487,4
49230,12
49230,1
49230,13
49230,3
49230,4
100726,14
100726,15
167361,14
167361,15
92503,1
166439,3
166439,4
228304,16
103717,16
279038,1
279038,13
279038,3
279038,4
89144,5
35488,1
181367,2
181367,5
217621,1
217621,3
217621,4
231257,17
231257,3
270415,7
222102,18
222102,3
222102,4
111173,1
111173,3
111173,4
137350,16
136012,2
136012,3
136012,4
164470,0
164470,1
164470,2
164470,3
164470,4
223806,14
223806,19
223806,3
28495,7
28495,20
28495,3
39443,16
174888,6
174888,21
174888,3
174888,4
72049,17
72049,3
72049,22
296026,3
296026,4
287242,6
287242,3
287242,4
31597,6
31597,3
31597,4
310744,3
310744,4
151190,23
286091,23
286091,3
35192,23
35192,3
29124,23
29124,3
98038,23
98038,3
316479,24
316479,4
9790,7
9790,1
9790,3
9790,4
261378,6
261378,11
261378,4
231627,25
231627,0
231627,10
71261,25
71261,0
71261,10
216637,0
216637,1
32534,0
32534,1
14876,0
14876,1
12987,0
12987,1
14827,1
14827,3
114733,7
114733,3
114733,4
35266,7
35266,3
35266,4
277888,1
62879,1
41210,1
236442,1
186219,25
186219,26
162625,3
162625,4
157886,21
157886,3
157886,4
35246,3
35246,4
233762,23
233762,27
34363,6
34363,3
34363,4
259540,6
259540,3
259540,4
42617,6
42617,21
42617,3
42617,4
91167,6
91167,3
91167,4
313436,6
313436,3
313436,4
286715,6
286715,3
286715,4
215715,6
215715,3
215715,4
56631,6
56631,11
56631,4
120446,7
120446,3
120446,4
178563,24
178563,4
28084,24
28084,4
196517,18
196517,3
196517,4
214357,1
124812,1
273933,0
273933,1
172403,0
172403,1
124657,18
124657,11
124657,4
209379,20
209379,11
209379,4
175729,4
39551,11
39551,4
210567,3
210567,4
272281,3
272281,4
134726,3
134726,28
194233,29
194233,3
194233,28
96696,30
96696,4
96696,31
47307,2
47307,3
293034,13
293034,11
293034,4
186043,13
186043,3
186043,4
292402,21
292402,3
292402,4
47799,3
47799,4
229652,23
229652,3
31711,18
31711,13
31711,3
31711,4
55513,3
55513,32
55513,33
288126,3
288126,33
73250,2
73250,3
73250,4
108710,4
169853,3
169853,4
8653,3
8653,4
18000,3
18000,4
221851,3
221851,4
234393,3
234393,33
212269,6
212269,11
212269,4
271846,7
271846,3
271846,4
7661,4
156003,23
156003,34
300258,30
300258,4
300258,31
181955,21
181955,4
41780,7
41780,35
21728,14
176715,27
176613,27
76533,27
252878,27
201999,35
231178,2
231178,5
231178,3
39855,5
39855,3
39855,4
144522,20
144522,2
144522,5
144522,3
144522,4
293118,2
293118,5
293118,3
293118,4
21308,5
21308,3
21308,4
5741,3
5741,4
41575,31
88986,4
211125,4
206199,7
108840,11
108840,4
108840,36
108840,37
131284,3
131284,4
135542,3
135542,4
308291,6
308291,20
308291,3
308291,4
295007,6
295007,20
295007,11
295007,4
223944,5
223944,3
223944,4
15131,38
15131,27
8028,17
8028,39
8028,3
30772,17
30772,39
30772,3
300052,2
300052,3
281858,1
55980,1
211015,1
1987,1
217347,7
217347,3
217347,4
49746,18
49746,3
49746,4
158460,18
158460,3
158460,4
263389,18
263389,3
263389,4
211864,18
211864,3
211864,4
319057,18
319057,3
319057,4
66335,18
66335,11
279115,6
279115,4
272495,18
272495,4
26498,6
26498,9
26498,2
272091,18
272091,11
272091,4
272091,31
185441,6
185441,7
185441,11
300130,11
300130,4
300130,31
267545,11
267545,4
267545,31
158232,1
158232,3
158232,4
60156,11
60156,4
157171,40
157171,3
157171,4
249076,6
249076,7
249076,3
249076,4
191796,3
191796,4
230045,17
230045,21
205633,7
205633,3
205633,4
122464,20
122464,3
122464,4
128456,3
128456,4
13004,7
13004,3
13004,4
203784,7
203784,21
203784,3
203784,4
185879,3
185879,4
246563,4
90674,7
90674,13
90674,3
90674,4
129335,6
129335,3
129335,4
294617,6
294617,11
294617,4
149184,20
149184,3
149184,4
42146,3
42146,4
201173,21
201173,11
201173,4
99199,4
26712,11
26712,4
115190,6
115190,11
115190,4
