date_id,date,year,month,day,day_of_week,day_of_year
0,2018-01-01,2018,1,1,Monday,001
1,2018-01-02,2018,1,2,Tuesday,002
2,2018-01-03,2018,1,3,Wednesday,003
3,2018-01-04,2018,1,4,Thursday,004
4,2018-01-05,2018,1,5,Friday,005
5,2018-01-06,2018,1,6,Saturday,006
6,2018-01-07,2018,1,7,Sunday,007
7,2018-01-08,2018,1,8,Monday,008
8,2018-01-09,2018,1,9,Tuesday,009
9,2018-01-10,2018,1,10,Wednesday,010
10,2018-01-11,2018,1,11,Thursday,011
11,2018-01-12,2018,1,12,Friday,012
12,2018-01-13,2018,1,13,Saturday,013
13,2018-01-14,2018,1,14,Sunday,014
14,2018-01-15,2018,1,15,Monday,015
15,2018-01-16,2018,1,16,Tuesday,016
16,2018-01-17,2018,1,17,Wednesday,017
17,2018-01-18,2018,1,18,Thursday,018
18,2018-01-19,2018,1,19,Friday,019
19,2018-01-20,2018,1,20,Saturday,020
20,2018-01-21,2018,1,21,Sunday,021
21,2018-01-22,2018,1,22,Monday,022
22,2018-01-23,2018,1,23,Tuesday,023
23,2018-01-24,2018,1,24,Wednesday,024
24,2018-01-25,2018,1,25,Thursday,025
25,2018-01-26,2018,1,26,Friday,026
26,2018-01-27,2018,1,27,Saturday,027
27,2018-01-28,2018,1,28,Sunday,028
28,2018-01-29,2018,1,29,Monday,029
29,2018-01-30,2018,1,30,Tuesday,030
30,2018-01-31,2018,1,31,Wednesday,031
31,2018-02-01,2018,2,1,Thursday,032
32,2018-02-02,2018,2,2,Friday,033
33,2018-02-03,2018,2,3,Saturday,034
34,2018-02-04,2018,2,4,Sunday,035
35,2018-02-05,2018,2,5,Monday,036
36,2018-02-06,2018,2,6,Tuesday,037
37,2018-02-07,2018,2,7,Wednesday,038
38,2018-02-08,2018,2,8,Thursday,039
39,2018-02-09,2018,2,9,Friday,040
40,2018-02-10,2018,2,10,Saturday,041
41,2018-02-11,2018,2,11,Sunday,042
42,2018-02-12,2018,2,12,Monday,043
43,2018-02-13,2018,2,13,Tuesday,044
44,2018-02-14,2018,2,14,Wednesday,045
45,2018-02-15,2018,2,15,Thursday,046
46,2018-02-16,2018,2,16,Friday,047
47,2018-02-17,2018,2,17,Saturday,048
48,2018-02-18,2018,2,18,Sunday,049
49,2018-02-19,2018,2,19,Monday,050
50,2018-02-20,2018,2,20,Tuesday,051
51,2018-02-21,2018,2,21,Wednesday,052
52,2018-02-22,2018,2,22,Thursday,053
53,2018-02-23,2018,2,23,Friday,054
54,2018-02-24,2018,2,24,Saturday,055
55,2018-02-25,2018,2,25,Sunday,056
56,2018-02-26,2018,2,26,Monday,057
57,2018-02-27,2018,2,27,Tuesday,058
58,2018-02-28,2018,2,28,Wednesday,059
59,2018-03-01,2018,3,1,Thursday,060
60,2018-03-02,2018,3,2,Friday,061
61,2018-03-03,2018,3,3,Saturday,062
62,2018-03-04,2018,3,4,Sunday,063
63,2018-03-05,2018,3,5,Monday,064
64,2018-03-06,2018,3,6,Tuesday,065
65,2018-03-07,2018,3,7,Wednesday,066
66,2018-03-08,2018,3,8,Thursday,067
67,2018-03-09,2018,3,9,Friday,068
68,2018-03-10,2018,3,10,Saturday,069
69,2018-03-11,2018,3,11,Sunday,070
70,2018-03-12,2018,3,12,Monday,071
71,2018-03-13,2018,3,13,Tuesday,072
72,2018-03-14,2018,3,14,Wednesday,073
73,2018-03-15,2018,3,15,Thursday,074
74,2018-03-16,2018,3,16,Friday,075
75,2018-03-17,2018,3,17,Saturday,076
76,2018-03-18,2018,3,18,Sunday,077
77,2018-03-19,2018,3,19,Monday,078
78,2018-03-20,2018,3,20,Tuesday,079
79,2018-03-21,2018,3,21,Wednesday,080
80,2018-03-22,2018,3,22,Thursday,081
81,2018-03-23,2018,3,23,Friday,082
82,2018-03-24,2018,3,24,Saturday,083
83,2018-03-25,2018,3,25,Sunday,084
84,2018-03-26,2018,3,26,Monday,085
85,2018-03-27,2018,3,27,Tuesday,086
86,2018-03-28,2018,3,28,Wednesday,087
87,2018-03-29,2018,3,29,Thursday,088
88,2018-03-30,2018,3,30,Friday,089
89,2018-03-31,2018,3,31,Saturday,090
90,2018-04-01,2018,4,1,Sunday,091
91,2018-04-02,2018,4,2,Monday,092
92,2018-04-03,2018,4,3,Tuesday,093
93,2018-04-04,2018,4,4,Wednesday,094
94,2018-04-05,2018,4,5,Thursday,095
95,2018-04-06,2018,4,6,Friday,096
96,2018-04-07,2018,4,7,Saturday,097
97,2018-04-08,2018,4,8,Sunday,098
98,2018-04-09,2018,4,9,Monday,099
99,2018-04-10,2018,4,10,Tuesday,100
100,2018-04-11,2018,4,11,Wednesday,101
101,2018-04-12,2018,4,12,Thursday,102
102,2018-04-13,2018,4,13,Friday,103
103,2018-04-14,2018,4,14,Saturday,104
104,2018-04-15,2018,4,15,Sunday,105
105,2018-04-16,2018,4,16,Monday,106
106,2018-04-17,2018,4,17,Tuesday,107
107,2018-04-18,2018,4,18,Wednesday,108
108,2018-04-19,2018,4,19,Thursday,109
109,2018-04-20,2018,4,20,Friday,110
110,2018-04-21,2018,4,21,Saturday,111
111,2018-04-22,2018,4,22,Sunday,112
112,2018-04-23,2018,4,23,Monday,113
113,2018-04-24,2018,4,24,Tuesday,114
114,2018-04-25,2018,4,25,Wednesday,115
115,2018-04-26,2018,4,26,Thursday,116
116,2018-04-27,2018,4,27,Friday,117
117,2018-04-28,2018,4,28,Saturday,118
118,2018-04-29,2018,4,29,Sunday,119
119,2018-04-30,2018,4,30,Monday,120
120,2018-05-01,2018,5,1,Tuesday,121
121,2018-05-02,2018,5,2,Wednesday,122
122,2018-05-03,2018,5,3,Thursday,123
123,2018-05-04,2018,5,4,Friday,124
124,2018-05-05,2018,5,5,Saturday,125
125,2018-05-06,2018,5,6,Sunday,126
126,2018-05-07,2018,5,7,Monday,127
127,2018-05-08,2018,5,8,Tuesday,128
128,2018-05-09,2018,5,9,Wednesday,129
129,2018-05-10,2018,5,10,Thursday,130
130,2018-05-11,2018,5,11,Friday,131
131,2018-05-12,2018,5,12,Saturday,132
132,2018-05-13,2018,5,13,Sunday,133
133,2018-05-14,2018,5,14,Monday,134
134,2018-05-15,2018,5,15,Tuesday,135
135,2018-05-16,2018,5,16,Wednesday,136
136,2018-05-17,2018,5,17,Thursday,137
137,2018-05-18,2018,5,18,Friday,138
138,2018-05-19,2018,5,19,Saturday,139
139,2018-05-20,2018,5,20,Sunday,140
140,2018-05-21,2018,5,21,Monday,141
141,2018-05-22,2018,5,22,Tuesday,142
142,2018-05-23,2018,5,23,Wednesday,143
143,2018-05-24,2018,5,24,Thursday,144
144,2018-05-25,2018,5,25,Friday,145
145,2018-05-26,2018,5,26,Saturday,146
146,2018-05-27,2018,5,27,Sunday,147
147,2018-05-28,2018,5,28,Monday,148
148,2018-05-29,2018,5,29,Tuesday,149
149,2018-05-30,2018,5,30,Wednesday,150
